Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,ACS09_5yr_C17002001,ACS09_5yr_C17002002,ACS09_5yr_C17002003,ACS09_5yr_C17002004,ACS09_5yr_C17002005,ACS09_5yr_C17002006,ACS09_5yr_C17002007,ACS09_5yr_C17002008,ACS09_5yr_C17002001s,ACS09_5yr_C17002002s,ACS09_5yr_C17002003s,ACS09_5yr_C17002004s,ACS09_5yr_C17002005s,ACS09_5yr_C17002006s,ACS09_5yr_C17002007s,ACS09_5yr_C17002008s
"06075042700","14000US06075042700","Census Tract 427, San Francisco County, California","Census Tract 427, San Francisco County, California","ca","140","00","ACSSF","0018946",,,,,"06","075",,,,"042700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5978,117,209,215,194,362,136,4745,368.484848484848,61.2121212121212,79.3939393939394,75.7575757575757,73.9393939393939,210.30303030303,74.5454545454545,498.181818181818
"06075042800","14000US06075042800","Census Tract 428, San Francisco County, California","Census Tract 428, San Francisco County, California","ca","140","00","ACSSF","0018947",,,,,"06","075",,,,"042800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2662,34,11,0,0,80,80,2457,201.818181818181,15.7575757575757,10.3030303030303,80,80,89.0909090909091,60.6060606060606,200.60606060606
"06075045100","14000US06075045100","Census Tract 451, San Francisco County, California","Census Tract 451, San Francisco County, California","ca","140","00","ACSSF","0018948",,,,,"06","075",,,,"045100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4951,291,175,404,101,88,28,3864,245.454545454545,135.757575757575,58.7878787878788,152.727272727272,73.9393939393939,42.4242424242424,22.4242424242424,353.939393939393
"06075045200","14000US06075045200","Census Tract 452, San Francisco County, California","Census Tract 452, San Francisco County, California","ca","140","00","ACSSF","0018949",,,,,"06","075",,,,"045200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6546,568,293,176,382,302,73,4752,273.939393939393,163.636363636363,103.636363636363,58.7878787878788,144.242424242424,113.939393939393,58.7878787878788,357.575757575757
"06075047600","14000US06075047600","Census Tract 476, San Francisco County, California","Census Tract 476, San Francisco County, California","ca","140","00","ACSSF","0018950",,,,,"06","075",,,,"047600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5068,234,385,119,349,183,379,3419,236.969696969697,87.8787878787879,138.787878787878,40.6060606060606,124.848484848484,95.1515151515151,218.181818181818,274.545454545454
"06075047701","14000US06075047701","Census Tract 477.01, San Francisco County, California","Census Tract 477.01, San Francisco County, California","ca","140","00","ACSSF","0018951",,,,,"06","075",,,,"047701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4180,137,224,211,131,50,61,3366,284.848484848484,51.5151515151515,86.060606060606,104.848484848484,81.8181818181818,40.6060606060606,76.9696969696969,321.212121212121
"06075047702","14000US06075047702","Census Tract 477.02, San Francisco County, California","Census Tract 477.02, San Francisco County, California","ca","140","00","ACSSF","0018952",,,,,"06","075",,,,"047702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4080,179,206,282,94,169,0,3150,261.212121212121,74.5454545454545,89.6969696969697,121.818181818181,60,71.5151515151515,80,236.969696969697
"06075047800","14000US06075047800","Census Tract 478, San Francisco County, California","Census Tract 478, San Francisco County, California","ca","140","00","ACSSF","0018953",,,,,"06","075",,,,"047800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8942,182,361,289,331,465,312,7002,671.515151515151,62.4242424242424,130.30303030303,109.696969696969,144.848484848484,180,120,681.212121212121
"06075047901","14000US06075047901","Census Tract 479.01, San Francisco County, California","Census Tract 479.01, San Francisco County, California","ca","140","00","ACSSF","0018954",,,,,"06","075",,,,"047901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6664,108,286,372,355,271,225,5047,322.424242424242,43.6363636363636,78.1818181818182,197.575757575757,149.090909090909,103.636363636363,88.4848484848484,313.333333333333
"06075047902","14000US06075047902","Census Tract 479.02, San Francisco County, California","Census Tract 479.02, San Francisco County, California","ca","140","00","ACSSF","0018955",,,,,"06","075",,,,"047902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,17,252,83,279,10,53,3056,260,15.7575757575757,109.090909090909,41.2121212121212,135.757575757575,9.69696969696969,40.6060606060606,226.666666666666
