X,Y,IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,PdId
-122.464964952960997,37.782860153249992,166026695,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,01/31/2016,17:55,RICHMOND,NONE,500 Block of CLEMENT ST,16602669506372.000000000000000
-122.397977877046998,37.795312436401694,160089964,VEHICLE THEFT,STOLEN MOTORCYCLE,Sunday,01/31/2016,17:50,CENTRAL,NONE,CLAY ST / DAVIS ST,16008996407023.000000000000000
-122.397977877046998,37.795312436401694,160089964,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Sunday,01/31/2016,17:50,CENTRAL,NONE,CLAY ST / DAVIS ST,16008996407020.000000000000000
-122.431013155567015,37.770657658783392,160091248,NON-CRIMINAL,FOUND PROPERTY,Sunday,01/31/2016,17:47,NORTHERN,NONE,100 Block of GERMANIA ST,16009124872000.000000000000000
-122.482222292856008,37.759594931992503,160091301,"SEX OFFENSES, FORCIBLE","CHILD ABUSE, EXPLOITATION",Sunday,01/31/2016,17:45,TARAVAL,"ARREST, BOOKED",KIRKHAM ST / 48TH AV,16009130115016.000000000000000
-122.482222292856008,37.759594931992503,160091301,SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,Sunday,01/31/2016,17:45,TARAVAL,"ARREST, BOOKED",KIRKHAM ST / 48TH AV,16009130164060.000000000000000
-122.393822011628004,37.783318849062795,166030323,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,01/31/2016,17:45,SOUTHERN,NONE,400 Block of 2ND ST,16603032306372.000000000000000
-122.406690592261,37.785207191841906,160092070,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Sunday,01/31/2016,17:40,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,16009207006362.000000000000000
-122.406690592261,37.785207191841906,160092070,NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED",Sunday,01/31/2016,17:40,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,16009207071024.000000000000000
-122.509433074341004,37.779849075879099,160091618,NON-CRIMINAL,FOUND PROPERTY,Sunday,01/31/2016,17:30,RICHMOND,NONE,48TH AV / POINTLOBOS AV,16009161872000.000000000000000
-122.432544280591003,37.782838866635487,166026952,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,01/31/2016,17:30,NORTHERN,NONE,1400 Block of FILLMORE ST,16602695206224.000000000000000
-122.472878708666002,37.745961982188909,160094236,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/31/2016,17:30,TARAVAL,NONE,2200 Block of 16TH AV,16009423606244.000000000000000
